"name","group","element","units","context","S477901","S477911","S477923","S477932","S477941","S477904","S477913","S477921","S477931","S477942","S477908","S477915","S477926","S477935","S477900","S477910","S477920","S477930","S477940","S477902","S477912","S477922","S477933","S477943","S477903","S477916","S477924","S477934","S477944","S477905","S477914","S477925","S477936","S477906","S477917","S477929","S477938","S477907","S477918","S477928","S477939","S477909","S477919","S477927","S477937"
Bersama abyssinica-type,TRSH,pollen,NISP,,,,,,,,,,2,,,,1,,,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,
Blighia sapida-type,TRSH,pollen,NISP,,,,,,,,2,1,,2,,,1,1,1,3,,,1,,1,,,,,,1,,,,,,1,,,1,1,,1,,,,,,3
Bombax costatum-type,TRSH,pollen,NISP,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borassus-type (B. aethiopum),PALM,pollen,NISP,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Bridelia ferruginea-type,TRSH,pollen,NISP,,1,1,2,1,,,7,5,3,2,,1,2,3,2,5,5,1,1,,,1,1,,1,,3,5,1,3,6,1,2,2,2,1,,1,1,,,2,3,3,
Caesalpinioideae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Campylospermum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Carapa-type (C. procera),TRSH,pollen,NISP,,,,4,4,16,,,16,5,6,,,5,3,,,3,7,7,,,5,8,1,,,2,3,3,,,8,9,,,10,2,,,13,4,,,10,14
Ceiba pentandra,TRSH,pollen,NISP,,,,,1,,,,,1,1,,,1,,,,1,,,,1,,,,,,,,1,,,,,,3,2,1,,1,,,,,,
Celastraceae undiff.,TRSH,pollen,NISP,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,2,
Celosia-type (C. trigyna),UPHE,pollen,NISP,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,1,2,3,10,7,,2,2,7,3,1,,7,12,1,5,2,8,3,2,1,7,21,4,1,5,16,10,19,4,,5,8,,2,5,16,,1,15,4,,1,6,7
Cichorieae undiff.,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Cissampelos-type (C. mucronata),TRSH,pollen,NISP,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissus phymatocarpa-type,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,2
