"name","group","element","units","context","S477901","S477911","S477923","S477932","S477941","S477904","S477913","S477921","S477931","S477942","S477908","S477915","S477926","S477935","S477900","S477910","S477920","S477930","S477940","S477902","S477912","S477922","S477933","S477943","S477903","S477916","S477924","S477934","S477944","S477905","S477914","S477925","S477936","S477906","S477917","S477929","S477938","S477907","S477918","S477928","S477939","S477909","S477919","S477927","S477937"
Poaceae undiff.,UPHE,pollen,NISP,,452,548,235,189,56,664,617,274,172,48,572,509,182,281,740,742,502,192,48,580,531,490,136,43,555,452,216,183,51,579,546,238,241,455,671,208,224,626,486,214,150,698,597,260,227
Podocarpus,TRSH,pollen,NISP,,,,8,16,25,1,,32,48,45,1,,11,12,1,3,2,47,14,2,1,1,9,30,1,2,33,18,27,,,15,11,,,19,14,,,27,14,,3,20,20
Polyscias fulva-type,TRSH,pollen,NISP,,1,2,3,3,5,,,4,3,3,,,2,1,,1,1,5,1,,,3,3,6,,,2,2,7,,,5,1,,,1,2,,,3,1,,1,3,6
Potamogeton thunbergii-type,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Protea-type,TRSH,pollen,NISP,,2,,1,,,1,,2,,,,,1,,1,,,2,,,,1,1,,3,,,1,,,,2,,,,,,,,1,,,,,
Prunus africana-type,TRSH,pollen,NISP,,1,,3,,3,,1,,1,5,,,4,,,1,,1,,,,3,2,,,1,2,1,4,,,1,1,,,4,,1,,,2,,,1,2
Psydrax-type (P. schimperiana),TRSH,pollen,NISP,,,,1,3,,,,,1,,,,,1,,,2,2,,,,5,,,,,,4,,,,,,,,,1,,,4,,,,1,
Pteridium-type (P. aquilinum),VACR,spore,NISP,,2,1,2,1,8,3,4,8,5,1,,,5,10,5,3,30,8,9,,2,16,2,,1,13,12,10,3,4,2,6,45,2,3,10,39,6,7,4,33,5,18,8,15
Pteris-type (P. dentata),VACR,spore,NISP,,,,,1,,,1,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,
Pteris-type (P. muricella),VACR,spore,NISP,,,,,,,,,2,1,,,,,1,,,2,2,,,,,,,,3,,2,,,,,,,,,,,,3,,,,1,
Pycnanthus angolensis-type,TRSH,pollen,NISP,,,,,1,1,,,,1,1,,,,2,2,,,3,1,,,,1,,,,,,,,,4,,,,2,2,,,1,1,1,,1,
Rapanea melanophloeos-type,TRSH,pollen,NISP,,,,,,1,,,2,4,,,,1,,,,,,1,,,,2,,,,1,,,,,,,,,,1,,,,1,,,,
Raphia,PALM,pollen,NISP,,2,2,2,9,3,,2,5,10,13,2,1,3,6,3,,1,15,3,2,13,2,4,5,2,3,2,7,21,1,4,4,8,,2,21,11,,,13,4,,3,4,17
Rauvolfia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Rhamnaceae undiff.,TRSH,pollen,NISP,,,,,,1,,,1,2,,,,2,1,,,,,,,,,1,,,,,,4,,,1,,,,,1,,,,,,,,
Rhaphiostylis,TRSH,pollen,NISP,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricinus communis,UPHE,pollen,NISP,,4,2,1,1,,6,,,,,4,3,,,2,10,2,,,2,3,3,,,,5,,1,,2,1,,,,3,1,,5,,1,,4,3,3,
Rubiaceae undiff.,TRSH,pollen,NISP,,,,1,3,,1,1,,1,3,,,3,3,,,,1,2,,,,4,1,,,,,2,,,,,1,,2,,1,,,3,,3,,
Rubus pinnatus-type,TRSH,pollen,NISP,,,1,5,4,17,1,3,22,19,16,1,,18,2,4,2,2,13,6,,,7,5,9,1,4,13,16,43,1,,5,15,,,10,6,1,1,14,19,2,7,2,7
Rumex,UPHE,pollen,NISP,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Sabicea-type (S. africana),TRSH,pollen,NISP,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapotaceae undiff.,TRSH,pollen,NISP,,,,,1,3,1,,,2,3,1,,2,1,,1,,4,,,,2,1,1,,,,,2,,,1,,,,6,2,,1,4,,,,,3
Schefflera myriantha-type,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,1,1,,,,1,,,,,,,,
Sericostachys-type (S. scandens),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
Seriphium kilimandscharicum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Shirakiopsis elliptica-type,TRSH,pollen,NISP,,,2,2,,12,3,,1,,6,,,4,,2,,5,2,4,,,,2,8,,,1,,1,1,,1,1,,2,3,1,2,1,4,7,1,2,1,
Sida,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Solanum-type,UPHE,pollen,NISP,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,
Sorindeia-type (S. juglandifolia),TRSH,pollen,NISP,,,1,9,10,4,,,5,7,11,4,1,8,4,2,,3,5,,,1,6,5,2,2,1,8,6,18,1,2,12,8,1,,13,10,,,5,5,3,2,7,10
Spermacoce-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephania-type (S. abyssinica),UPHE,pollen,NISP,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterculia-type,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Swertia-type (S. kilimandscharica),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Symphonia globulifera,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Tabernaemontana crassa-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacazzea-type (T. apiculata),UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapinanthus-type,TRSH,pollen,NISP,,,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrapleura tetraptera-type,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tetrorchidium,TRSH,pollen,NISP,,,3,5,8,3,,1,2,15,10,1,,8,4,,1,1,2,2,,,1,6,5,,1,10,6,15,,1,3,9,,,7,12,,2,8,23,3,1,1,8
Thymelaeaceae,UPHE,pollen,NISP,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilioideae undiff.,TRSH,pollen,NISP,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Trema-type (T. orientalis),TRSH,pollen,NISP,,1,,1,1,3,,1,,3,2,,1,3,3,1,,2,5,,,,13,5,2,3,1,4,,6,,2,3,3,,2,8,4,3,2,2,5,,3,,
Trichilia-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Trilepisium-type (T. madagascariense),TRSH,pollen,NISP,,,,,3,1,,,6,3,2,,,3,3,,,1,4,4,,,,4,2,,1,2,1,1,1,1,4,6,,,7,2,,,1,1,,,2,1
Triletes undiff.,PTER,spore,NISP,,,,2,,1,3,,,3,,,,,,,1,,,,,,,,1,1,,,,4,1,,,,,,2,,,1,2,1,,,1,3
Triplochiton scleroxylon-type,TRSH,pollen,NISP,,,,3,,,,1,1,1,,,,5,,,,,,,,,,2,,,,,,,,,2,,,1,2,,,,3,,,,2,
Typha,AQVP,pollen,NISP,,3,,1,,,2,1,,,1,1,,2,,,6,2,,,,,1,,1,1,,,1,,3,1,,,3,2,4,,2,1,,,3,1,2,
Uapaca lissopyrena-type,TRSH,pollen,NISP,,4,2,1,4,,2,2,3,3,3,,2,,5,2,3,3,,,2,1,1,3,1,1,4,,6,10,4,,1,3,1,1,6,3,,1,6,1,1,3,3,
Uapaca robynsii-type,TRSH,pollen,NISP,,,,,,6,,,1,,1,,,,1,,,1,,,,1,2,,,,1,,,1,1,,,,,1,,,1,,,,,,4,
Uncaria-type (U. africana),TRSH,pollen,NISP,,,,2,4,1,,,1,2,1,1,,6,3,,,,,1,,,,9,,,,,3,1,,,5,,2,,1,,2,,,,,,,5
Unknown,UNID,pollen/spore,NISP,,,1,,1,2,1,3,1,1,1,,,3,,,1,2,2,,2,,1,1,,5,1,3,,2,,1,,2,1,2,1,1,,,4,1,,1,1,6
Urticaceae undiff.,UPHE,pollen,NISP,,1,,1,6,,3,,2,,1,,1,1,8,1,,1,,3,2,1,3,6,5,,,4,1,2,,,3,,1,,,,,1,1,,1,,3,2
Utricularia-type (U. inflexa),AQVP,pollen,NISP,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vangueria madagascariensis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Vepris-type (V. nobilis),TRSH,pollen,NISP,,,,,,1,,,3,,,,,,,,,1,,,,,2,,2,,,,1,,,,,,,,1,,,,,2,,,,
Vepris-type (V. trichocarpa),TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernonieae undiff.,UPHE,pollen,NISP,,1,,,,,,1,,,,,,1,,,,,1,,,1,,,,1,,2,,,1,1,,,2,,,,1,1,1,,1,,1,1
Virectaria,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanha golungensis-type,TRSH,pollen,NISP,,1,,,3,4,,,3,2,3,,1,1,1,,,,,,,,,2,,,1,,,,,,1,,,,4,2,,,3,1,,,,2
Zanthoxylum-type (Z. gilletii),TRSH,pollen,NISP,,,2,,,,,1,2,1,,,,,,,,,,1,,,,1,1,,,1,3,4,,,1,,,,,,,,,2,,,,
Zanthoxylum-type (Z. zanthoxyloides),TRSH,pollen,NISP,,,,2,,1,,,,,,,,2,,,,,,3,,,,1,,,,,3,,,,,,,,,,,,,,,,,
