"name","group","element","units","context","S478869","S478879","S478889","S478899","S478909","S478919","S478930","S478940","S478860","S478870","S478880","S478890","S478900","S478911","S478921","S478931","S478941","S478865","S478876","S478885","S478895","S478905","S478915","S478925","S478936","S478947","S478867","S478877","S478887","S478898","S478908","S478918","S478928","S478938","S478943","S478862","S478871","S478881","S478891","S478901","S478912","S478922","S478932","S478942","S478864","S478874","S478884","S478894","S478906","S478916","S478926","S478935","S478946","S478861","S478873","S478882","S478892","S478902","S478910","S478920","S478929","S478939","S478863","S478872","S478883","S478893","S478903","S478913","S478923","S478933","S478944","S478868","S478878","S478888","S478897","S478904","S478914","S478924","S478934","S478945","S478866","S478875","S478886","S478896","S478907","S478917","S478927","S478937","S478948"
Acanthaceae,UPHE,pollen,NISP,,,,,2,,,1,,,,1,,,1,,,,,,,,1,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
Adansonia digitata,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenia,TRSH,pollen,NISP,,,,,,2,,6,4,,,,,4,,2,12,2,,,,,1,3,3,6,,,,,,,1,8,3,,,,,,,3,5,6,,,,,,,1,8,5,,,,,,,3,1,3,3,,,,,,1,3,2,,,,,,,1,9,4,,1,,,,3,,3,4,
Adina,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Afraegle,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afzelia cf. A. africana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchornea,TRSH,pollen,NISP,,1,,,1,4,3,8,,,1,,1,,4,7,13,,2,,1,2,3,1,5,1,,2,,,2,2,5,13,,,,,,1,4,4,4,10,,2,,,,8,3,5,3,,,,,1,2,4,7,12,1,1,,,,7,3,14,8,,,,,6,,6,12,6,,2,3,1,3,1,3,16,4,
Allophylus,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,
Amaranthaceae,UPHE,pollen,NISP,,14,12,1,7,4,,1,12,6,15,11,9,6,,1,2,15,24,15,8,9,1,2,2,,2,21,16,5,12,,1,1,1,,12,11,5,6,10,2,1,3,5,8,6,8,5,4,1,2,4,34,3,10,16,11,3,4,,1,3,9,15,16,10,5,3,,3,5,8,19,8,6,4,1,,3,57,27,5,10,10,1,,2,7,1
Anacardiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annonaceae,TRSH,pollen,NISP,,1,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,1,,,,,,,,,1,1,,,,1,2,,,1,1,1,,,,,,,,,,,,,,,,1,,,,1,2,
Antidesma,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Apocynaceae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Araliaceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Arecaceae,PALM,pollen,NISP,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Artemisia,UPHE,pollen,NISP,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,
