"name","group","element","units","context","S478869","S478879","S478889","S478899","S478909","S478919","S478930","S478940","S478860","S478870","S478880","S478890","S478900","S478911","S478921","S478931","S478941","S478865","S478876","S478885","S478895","S478905","S478915","S478925","S478936","S478947","S478867","S478877","S478887","S478898","S478908","S478918","S478928","S478938","S478943","S478862","S478871","S478881","S478891","S478901","S478912","S478922","S478932","S478942","S478864","S478874","S478884","S478894","S478906","S478916","S478926","S478935","S478946","S478861","S478873","S478882","S478892","S478902","S478910","S478920","S478929","S478939","S478863","S478872","S478883","S478893","S478903","S478913","S478923","S478933","S478944","S478868","S478878","S478888","S478897","S478904","S478914","S478924","S478934","S478945","S478866","S478875","S478886","S478896","S478907","S478917","S478927","S478937","S478948"
Hygrophila,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hymenocardia,TRSH,pollen,NISP,,,2,1,3,7,11,,,1,1,,3,1,9,12,,,5,3,,1,6,12,11,,,1,4,2,3,7,10,1,,,3,1,1,2,2,8,12,,,3,4,,1,1,10,3,,,6,3,1,,9,13,13,,,1,4,1,3,6,16,6,,,3,7,1,4,5,10,6,1,,4,2,2,2,4,7,9,,
Indeterminable,UNID,pollen/spore,NISP,,3,3,7,8,14,8,3,2,3,5,9,14,11,8,5,11,15,6,10,5,13,8,24,12,4,10,2,9,7,10,8,7,8,2,19,7,10,6,9,6,9,2,6,16,9,8,8,12,14,18,12,6,9,,4,5,8,8,19,16,11,5,4,6,4,4,12,31,6,8,10,10,6,8,7,8,2,9,6,18,4,3,4,9,9,7,9,7,19
Indigofera,TRSH,pollen,NISP,,,1,,2,1,,,,,,,1,2,,,,,2,,2,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,1,,,2,,,,,,1,,1,,,,,,5,,,2,,
Ipomoea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Irvingiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoberlinia,TRSH,pollen,NISP,,,1,,2,,,,,1,1,,,,,,,,2,1,,2,3,,,,,1,2,1,5,1,,,,,3,1,,,,,,,,,2,1,2,,,,,,,1,,,3,,,,,,,,1,2,,,,,2,4,2,1,2,,,,,1,,1,1,,,,,
Ixora,TRSH,pollen,NISP,,,,,,2,2,,,,,,,,4,2,10,,,,,,1,8,16,3,,,,,,1,1,9,2,,,,,,,3,3,5,,,,,1,,7,7,3,,,,,,,7,7,2,,,,,,,5,1,,,,,,,,1,10,3,,,,,1,,3,10,,
Justicia,UPHE,pollen,NISP,,,,,,,,,,,,,3,,,,1,,,,2,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
Khaya,TRSH,pollen,NISP,,2,,,,2,,,1,,,1,1,1,,,,,,,,2,,,1,,,,,1,2,,1,,,,,1,,,,,1,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,1,,,6,,,,,,,,2,4,,,,,,1,,,,,
Kohautia,TRSH,pollen,NISP,,1,,,1,,,,,,,1,,,,,,,,2,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,1,,,1,,,,,1,,,,,,1,,,,1,1,1,,,1,,,,,,,,,2,1,,,1,,,,,1,,,,,,,,,,,,,,,1,2,1,,,,,,1,1,,1,1,,,,,,1,,,,2,,,,,,,,2,2,
Lannea/Sclerocarya,TRSH,pollen,NISP,,2,9,1,5,4,3,1,8,,1,21,2,1,,1,4,,3,12,3,7,1,4,11,5,,,8,4,8,5,1,2,1,,,3,1,3,2,3,2,2,,9,4,2,16,1,1,,3,,1,7,2,6,8,1,5,3,2,3,2,,12,5,2,2,4,,2,5,,12,4,4,1,,,1,5,4,3,,1,4,2,
Liliaceae,UPHE,pollen,NISP,,1,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,3,,,,1,,1,2,,,,,,,1,,,,1,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,
Lobelia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Lophira,TRSH,pollen,NISP,,,,,,,2,1,,,,,,,3,2,,,,,1,,2,1,,,,1,,,,1,3,,,,1,,,1,,1,,1,,1,,,,1,1,1,,,,,,,,4,,1,,,,,,,2,,,,,,,,,2,,1,,,,,,3,3,,,
Lythraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Macaranga,TRSH,pollen,NISP,,,,,,,1,4,,,1,,,,1,1,4,,4,,,,1,1,2,1,,,2,,2,1,,3,,,,,1,,,,5,3,,1,1,1,,,4,1,,,,,,,,,1,1,,,,,,1,1,5,5,,,,,,,,7,,,,2,,1,3,2,2,,
Maerua,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallotus,TRSH,pollen,NISP,,,,1,,6,4,1,,,,,,,5,10,2,,,,,,1,4,3,1,,,1,,,2,4,8,,,,,,,,1,3,7,,,1,1,,,4,6,1,,,,,,3,5,6,3,,,,,3,,6,3,2,,1,,,,,1,4,5,,,2,,,,2,5,,
Malvaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,
Manilkara,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menispermaceae,UPHE,pollen,NISP,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,,
Mitracarpus hirtus,UPHE,pollen,NISP,,4,1,,1,,,,,2,,,2,1,,,,1,2,1,3,2,,,,,,,,4,,,1,,,,1,2,1,,2,,,,,2,,,4,,,,,,,,3,1,,,,,,3,,1,1,1,,,,,1,1,2,2,,,1,,,,1,2,,,,,,
Mitragyna,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Monocotyledoneae,SEED,pollen,NISP,,,,,1,,,,1,2,,,,2,,1,,1,1,1,,,,,,,,,,,3,1,1,,,1,,,2,2,,1,1,,,1,,,,,,1,,,1,,,,,,,,1,1,,,,1,1,1,2,,1,,,,,,,,,,,,,,1,,,1
Monoletes,PTER,spore,NISP,,1,,1,,1,,16,,,1,,1,,2,9,12,,1,1,1,,3,1,14,2,4,,,,,3,2,10,5,,,,,,,,8,14,,1,,,,7,3,9,10,,,,,1,,5,4,20,1,,,,,,1,11,14,,1,2,1,,1,3,5,5,,,1,1,1,1,4,9,2,6
Monotes lutambensis,TRSH,pollen,NISP,,,,,,1,,,,,,,,,2,,,,,1,,,1,,,,,,,,3,3,,,,,,,,,1,3,,,,,,,1,2,,,,,,,,1,2,1,1,,,,,,2,5,,,,,,,,7,,1,,,,,,,3,1,,,,
Moraceae,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,,,,,,,2,2,,
Morelia senegalensis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,1,,
Mussaenda,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauclea,TRSH,pollen,NISP,,2,,,,,,,,,,2,,3,1,2,,,2,4,,2,,3,1,,,,3,,2,1,1,1,,,1,1,,,1,2,1,,,3,2,1,2,1,1,,4,,,1,,1,,1,1,,,,1,,2,2,2,,1,,,2,,2,,1,1,,,2,1,1,1,,,,,
Nymphaea,AQVP,pollen,NISP,,,,,,,,,1,,,,,,,,,1,1,,,3,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,1,,,,,,,6,,,,,,,,,,,1,,,,,,,2,,1,,
Olea capensis subsp. hochstetteri,TRSH,pollen,NISP,,,,1,1,3,4,44,7,,,,,,4,5,68,4,,,,,3,6,16,95,5,,1,,1,3,3,65,63,,,,2,,1,4,10,99,,,,,,2,9,33,108,2,,,,,6,7,8,92,4,,,,,2,4,6,112,,,,,,,3,11,121,,,,,1,1,4,41,26,
Parkia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Paullinia pinnata,TRSH,pollen,NISP,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,2,6,,,,1,1,,,1,,,
Persicaria cf. P. senegalensis,UPHE,pollen,NISP,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix cf. P. reclinata,PALM,pollen,NISP,,,,,,1,,2,,,,,,,2,,20,,,1,,,1,,2,,,1,,,1,,,2,,,,,,,,1,1,7,,,,,,,,3,,,,,,,1,,,4,,,1,,,,,,5,,,,,1,,,1,2,,,,,,,1,1,,
Phyllanthus,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Piliostigma,TRSH,pollen,NISP,,1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,
Pinus,TRSH,pollen,NISP,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,697,615,673,541,611,622,420,745,1112,699,851,730,704,481,607,495,613,532,732,747,678,501,607,560,560,463,536,793,746,728,430,660,587,627,84,1044,543,826,741,677,551,459,527,135,863,814,746,695,630,520,467,577,461,506,680,891,786,502,555,510,405,640,239,668,708,552,655,570,427,478,142,547,741,728,660,682,445,477,596,843,685,635,686,561,597,429,422,510,403
Podocarpus,TRSH,pollen,NISP,,,,,1,,,,,,,,,2,,,,,,,1,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,,,,,,2,,,,,,,,,,,1,,,1
Polycarpaea,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,1,,2,1,1,,,,,,,,,,,1,,1,,,,,,,,,,,
Polygonaceae,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
Prosopis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Pterocarpus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Raphia,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Rhus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,5,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,,,,,,,,2,,,,,1,1,,,3,,,,,,,2,3,,,,,,1,,,,,2,,,2,,,,,,,,,,,2,2,,,3,,
Rutaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Salix cf. S. ledermanii,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvadora,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,1,,1,,,,,,2,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Sapindaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Securinega virosa,TRSH,pollen,NISP,,3,2,1,,,,1,,,1,2,8,,,,,,4,4,4,3,,,1,,,4,2,,2,2,,,,,,5,1,1,1,,,,,2,3,2,1,,,,,,,1,3,3,,,1,,,,2,2,1,1,1,,,,2,2,3,3,,1,1,,,3,,1,,,1,,,
Solanum,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Spermacoce,UPHE,pollen,NISP,,1,,,1,2,7,2,,1,1,,,4,3,3,1,,,1,1,2,1,3,4,,,,,1,2,1,3,1,,,,,,,,2,11,1,,,1,,3,5,,3,,,2,,,,1,3,5,2,,,,1,3,2,2,1,,,,,,,,1,,,,,,1,1,,,2,,
Sterculia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Strychnos,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Syzygium,TRSH,pollen,NISP,,,,,,6,3,3,,,,,,3,1,2,4,1,,,,,1,3,4,3,,,,,1,2,1,3,2,,,,,2,3,,2,4,,,,,2,,4,1,2,,,1,,,,4,3,1,2,,,,1,3,5,2,2,,,,,2,1,3,5,,,2,1,,2,,1,3,2,
Tacazzea apiculata,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
Talinum,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapinanthus,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunbergia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymelaeaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trema orientalis,TRSH,pollen,NISP,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,1,,,2,,,,,,,2,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,2,,,,,,,,2,1,,,,,,,,,,,,,,,,
Triletes,PTER,spore,NISP,,1,1,,3,3,5,1,1,,2,1,2,1,3,3,2,4,2,3,,4,5,2,5,4,14,2,1,1,2,1,2,5,5,,1,2,1,1,4,7,3,3,,,5,1,,,2,1,9,11,2,1,1,1,2,6,3,5,,,2,,2,2,4,1,3,,1,1,2,5,3,2,3,8,1,1,1,1,2,4,4,,1,27
Typha,AQVP,pollen,NISP,,4,42,3,5,,2,1,40,77,2,1,1,3,,,3,22,69,19,3,1,2,,,5,8,7,6,3,2,,,,19,9,46,1,2,3,1,2,1,1,1,29,6,2,7,3,,1,,6,37,3,2,4,8,1,2,,16,197,5,23,6,3,,,3,3,6,4,,2,3,2,1,2,,7,6,2,2,2,3,,11,4
Uapaca,TRSH,pollen,NISP,,,1,,2,137,99,84,,,,2,,,188,182,63,3,,,,,58,158,120,4,,,,,1,87,125,110,5,,,,,,2,155,121,46,,,,,,64,149,117,10,,,,,1,15,210,143,104,2,,,,1,19,157,102,17,,,,,1,49,169,166,12,,,,,,96,103,118,6,
Urticaceae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,
Vernonia,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Vitaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,2,,,1,3,,,,,,3,,2,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Vitex,TRSH,pollen,NISP,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ximenia americana,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Ziziphus,TRSH,pollen,NISP,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
cf. Dialium,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,2,,1,,,,,1,1,1,1,,,,,,,1,3,,,,,,1,,1,,,,,,1,,,1,,1,,,,,,1,1,1,1,,,
cf. Scrophulariaceae,UPHE,pollen,NISP,,1,,2,3,2,1,,,,,2,,9,1,,1,1,2,1,,5,2,2,,,,,,,4,1,1,,,,,,1,,1,1,1,,,1,1,1,4,,,,3,,,,3,,,2,1,,,,1,,3,,1,,1,,1,,,2,1,,,,,,,,3,,,,2,
